unluler,tweetler,clean,labels
İlber Ortaylı,20. yüzyılın en büyük arkeolojik keşiflerinden biri olarak kabul edilen ‘Çocuk Kral’ Tutankhamun’un mezarında bulunan eserler ilk kez Türkiye’de sergilenecek. Benim de açılış konuşmasını yapacağım @TutSergisi’ni her yaştan tarihseverin ziyaret etmesini tavsiye ederim. https://t.co/evzRSYVy1O,yüzyılın büyük arkeoloik keşiflerinden olarak kabul edilen çocuk kral tutankhamunun mezarında bulunan eserler ilk kez türkiyede sergilenecek açılış konuşmasını yapacağım tutsergisini yaştan tarihseverin ziyaret etmesini tavsiye ederim evzrsyvyo,0
İlber Ortaylı,Heykelsiz ve resimsiz medeniyet olmaz. @turk_park ile iftihar ettim. Konferans sonrasında beni tatlı bir sürpriz bekliyordu. Alper Çınar heykelimi yapmış. Kendisine çok teşekkür ediyorum. https://t.co/fyJLxiZWn3,heykelsiz resimsiz medeniyet olmaz turkpark iftihar ettim konferans sonrasında tatlı sürpriz bekliyordu alper çınar heykelimi yapmış kendisine teşekkür ediyorum fylizn,0
İlber Ortaylı,“Hangisi Gerçek?” bugün saat 21.00’de @tarihtvcomtr’de. https://t.co/6wYtCVug8m,gerçek bugün saat tarihtvcomtrde ytcvugm,0
İlber Ortaylı,"Türkçe Dil Bayramı vesilesiyle gittiğim Üsküp, Makedonya’da gençlerle. https://t.co/DMspE9oNpo",türkçe dil bayramı vesilesiyle gittiğim üsküp makedonyada gençlerle dmspeonpo,0
İlber Ortaylı,"10 Aralık Cumartesi, İstanbul Kitap Fuarı. https://t.co/ivyWC8jcD6",aralık cumartesi i̇stanbul kitap fuarı ivyccd,0
İlber Ortaylı,"Bu süreçte beni arayan, soran okuyucularımın, dostlarımın gönderdiği mesajlar, sevgi ifadeleri beni çok duygulandırdı, mutlu etti. Böylesine bir sevgi her faniye nasip olmaz. Hepinize sağlıklı günler dilerim. https://t.co/vAk1Y0GFrR",süreçte arayan soran okuyucularımın dostlarımın gönderdiği mesalar sevgi ifadeleri duygulandırdı mutlu etti böylesine sevgi faniye nasip olmaz hepinize sağlıklı günler dilerim vakygfrr,0
İlber Ortaylı,Terör karşısında örgütlenmeyi ve dik durmayı öğrenmeliyiz. Gidecek yerimiz yok. Burada oturmak ve belayı burada defetmek zorundayız. https://t.co/yOFrNjTw1c,terör karşısında örgütlenmeyi dik durmayı öğrenmeliyiz gidecek yerimiz yok oturmak belayı defetmek zorundayız yofrntc,0
İlber Ortaylı,"Atatürk’te mantık, kurmaylığın verdiği coğrafya, tarih merakı, edebi bir zevk ve metin anlayışıyla yan yana gelmiştir. Atatürk birçok özelliğinin yanı sıra bu yönüyle de bu milletin aranan adamıdır. Hep arıyoruz onu.. Bu eğitim düzeyi ve bu kopuşla daha da aramaya devam edeceğiz. https://t.co/ZDrj5ty3lv",atatürkte mantık kurmaylığın verdiği coğrafya tarih merakı edebi zevk metin anlayışıyla yan yana gelmiştir atatürk özelliğinin yanı sıra yönüyle milletin aranan adamıdır arıyoruz eğitim düzeyi kopuşla aramaya devam edeceğiz zdrtylv,0
İlber Ortaylı,"""Bir Türk sadece zeybek oynarken diz çöker."" https://t.co/Fzn8A08X05",türk sadece zeybek oynarken diz çöker fzna,0
İlber Ortaylı,"Hocam Halil İnalcık'ın üniversitede verdiği ders notları 2 cilt halinde yayımladı. Hem ""Kısa Osmanlı Tarihi"" hem de ""Millî Mücadele Tarihi"" bu konulara meraklı tarihseverler tarafından mutlaka okunmalı. https://t.co/vd4N1seM0o",hocam halil i̇nalcıkın üniversitede verdiği ders notları cilt halinde yayımladı kısa osmanlı tarihi millî mücadele tarihi konulara meraklı tarihseverler tarafından mutlaka okunmalı vdnsemo,0
